Name,Muscle Group,Equipment,Category,Aliases,Type
1.5 Rep Bench Press,chest,barbell,compound,One and Half Bench Press,strength
1.5 Rep Cable Fly,chest,cable,isolation,One and Half Cable Fly,strength
1.5 Rep Dumbbell Bench Press,chest,dumbbell,compound,One and a Half Rep DB Bench,strength
1.5 Rep Dumbbell Fly,chest,dumbbell,isolation,One and Half DB Fly,strength
Alternating Dumbbell Bench Press,chest,dumbbell,compound,"Alternating DB Bench, Alt DB Bench Press",strength
Archer Push Up,chest,bodyweight,compound,Archer Push-Up,bodyweight
Around the World,chest,dumbbell,isolation,DB Around the World,strength
Band Chest Fly,chest,band,isolation,"Resistance Band Fly, Band Fly, Band Flye",strength
Band Chest Fly Incline,chest,band,isolation,Incline Band Fly,strength
Band Chest Press,chest,band,compound,Resistance Band Chest Press,strength
Band Push Up,chest,band,compound,"Banded Push Up, Resistance Band Push Up",strength
Band Resisted Dip,chest,band,compound,Banded Resisted Dip,strength
Band Resisted Push Up,chest,band,compound,Banded Push Up Resisted,strength
Banded Bench Press,chest,band,compound,Resistance Band Bench Press,strength
Banded Bench Press Heavy,chest,barbell,compound,Band Resisted Bench,strength
Banded Dip,chest,band,compound,Band Assisted Dip,strength
Barbell Bench Press,chest,barbell,compound,"BB Bench Press, Bench Press, Flat Bench Press, Flat BB Bench, Barbell Flat Bench Press",strength
Board Press,chest,barbell,compound,"1 Board Press, 2 Board Press, 3 Board Press",strength
Cable Bench Press,chest,cable,compound,Cable Chest Press,strength
Cable Chest Fly Decline,chest,cable,isolation,Decline Cable Chest Fly,strength
Cable Chest Fly Incline,chest,cable,isolation,Incline Cable Chest Fly,strength
Cable Crossover High Pulley,chest,cable,isolation,High Pulley Cable Crossover,strength
Cable Crossover Low Pulley,chest,cable,isolation,Low Pulley Cable Crossover,strength
Cable Fly,chest,cable,isolation,"Cable Flye, Cable Flies, Standing Cable Fly, Mid Cable Fly",strength
Cable Incline Press,chest,cable,compound,Incline Cable Press,strength
Cambered Bar Bench Press,chest,barbell,compound,Cambered BB Bench,strength
Chain Bench Press,chest,barbell,compound,Bench Press with Chains,strength
Chaos Band Push Up,chest,band,compound,Unstable Push Up,strength
Chest Dip Weighted Pause,chest,bodyweight,compound,Paused Weighted Dip,strength
Clap Push Up,chest,bodyweight,plyometric,"Clap Push-Up, Plyometric Push Up",bodyweight
Close Grip Bench Press,chest,barbell,compound,"Close Grip BB Bench, CG Bench Press, CGBP, Narrow Grip Bench Press",strength
Close Grip Dumbbell Bench Press,chest,dumbbell,compound,"Close Grip DB Bench, Neutral Grip DB Bench Press",strength
Cluster Set Bench Press,chest,barbell,compound,Cluster Bench,strength
Converging Chest Press Machine,chest,machine,compound,Converging Machine Press,strength
Decline Barbell Bench Press,chest,barbell,compound,"Decline BB Bench, Decline Bench Press, Decline Bench, Decline BB Press",strength
Decline Cable Fly,chest,cable,isolation,Decline Cable Flye,strength
Decline Dumbbell Bench Press,chest,dumbbell,compound,"Decline DB Bench, Decline DB Press, Decline Dumbbell Press",strength
Decline Dumbbell Fly,chest,dumbbell,isolation,"Decline DB Fly, Decline DB Flye",strength
Decline Dumbbell Pullover,chest,dumbbell,isolation,Decline DB Pullover,strength
Decline Machine Chest Press,chest,machine,compound,Decline Machine Press,strength
Decline Push Up,chest,bodyweight,compound,"Decline Push-Up, Feet Elevated Push Up",bodyweight
Deficit Push Up,chest,bodyweight,compound,"Deficit Push-Up, Deep Push Up",bodyweight
Diamond Push Up,chest,bodyweight,compound,"Diamond Push-Up, Close Grip Push Up, Triangle Push Up",bodyweight
Dip,chest,bodyweight,compound,"Chest Dip, Parallel Bar Dip, Dips, Bar Dip",bodyweight
Doorway Chest Stretch,chest,bodyweight,isolation,Chest Stretch,holds
Dumbbell Bench Press,chest,dumbbell,compound,"DB Bench Press, DB Bench, Dumbbell Flat Bench, Flat DB Press, DB Flat Press, Dumbbell Flat Press",strength
Dumbbell Floor Fly,chest,dumbbell,isolation,DB Floor Fly,strength
Dumbbell Floor Press,chest,dumbbell,compound,DB Floor Press,strength
Dumbbell Fly,chest,dumbbell,isolation,"DB Fly, DB Flye, DB Flies, Dumbbell Flye, Flat Dumbbell Fly, Flat DB Fly",strength
Dumbbell Fly to Press,chest,dumbbell,compound,"DB Fly Press, Flye to Press",strength
Dumbbell Incline Squeeze Press,chest,dumbbell,compound,"Incline Squeeze Press, Incline Hex Press",strength
Dumbbell Pullover,chest,dumbbell,isolation,"DB Pullover, Cross Bench Pullover",strength
Dumbbell Pullover to Press,chest,dumbbell,compound,DB Pullover Press,strength
Dumbbell Squeeze Press,chest,dumbbell,compound,"DB Squeeze Press, Hex Press, Crush Press",strength
Eccentric Dumbbell Fly,chest,dumbbell,isolation,Negative DB Fly,strength
Eccentric Push Up,chest,bodyweight,compound,"Negative Push Up, Slow Push Up",bodyweight
Explosive Push Up,chest,bodyweight,plyometric,Power Push Up,bodyweight
Floor Press,chest,barbell,compound,"BB Floor Press, Barbell Floor Press",strength
Football Bar Bench Press,chest,barbell,compound,"Swiss Bar Bench, Neutral Grip BB Bench",strength
Guillotine Press,chest,barbell,compound,"Neck Press, Barbell Guillotine Press",strength
High Cable Crossover,chest,cable,isolation,High Cable Cross,strength
High Cable Fly,chest,cable,isolation,"High to Low Cable Fly, Cable Crossover, High Cable Flye, Cable Cross",strength
High Incline Barbell Press,chest,barbell,compound,High Incline BB Press,strength
High Incline Dumbbell Press,chest,dumbbell,compound,"High Incline DB Press, 60 Degree DB Press",strength
Incline Barbell Bench Press,chest,barbell,compound,"Incline BB Bench, Incline Bench Press, Incline Bench, Incline BB Press",strength
Incline Barbell Floor Press,chest,barbell,compound,Incline Floor Press,strength
Incline Barbell Pullover,chest,barbell,isolation,"BB Pullover, Barbell Pullover",strength
Incline Cable Fly,chest,cable,isolation,Incline Cable Flye,strength
Incline Dumbbell Bench Press,chest,dumbbell,compound,"Incline DB Bench, Incline DB Press, Incline Dumbbell Press, DB Incline Press, DB Incline Bench",strength
Incline Dumbbell Fly,chest,dumbbell,isolation,"Incline DB Fly, Incline DB Flye, Incline Flye",strength
Incline Dumbbell Fly to Press,chest,dumbbell,compound,Incline DB Fly Press,strength
Incline Dumbbell Pullover,chest,dumbbell,isolation,Incline DB Pullover,strength
